corridor_period,tmc_code,minute,mean_tt,p95_tt,days,start_latitude,length_mi,distance_end_mi,distance_start_mi,t0_min,tti,pti95,gamma95
I-95 NB AM,110+04147,350,1.5895652173913044,1.6769999999999998,23,38.52594,1.82979,2.3285183333333332,0.4987283333333332,1.5248249999999999,1.042457473737186,1.099798337514141,1.0550054704595184
I-95 NB AM,110+04147,355,1.6013043478260869,1.6789999999999998,23,38.52594,1.82979,2.3285183333333332,0.4987283333333332,1.5248249999999999,1.050156147640606,1.1011099634384274,1.0485202280749388
I-95 NB AM,110+04147,360,1.5982608695652174,1.7189999999999999,23,38.52594,1.82979,2.3285183333333332,0.4987283333333332,1.5248249999999999,1.0481601951471267,1.1273424819241553,1.075544069640914
I-95 NB AM,110+04147,365,1.602608695652174,1.66,23,38.52594,1.82979,2.3285183333333332,0.4987283333333332,1.5248249999999999,1.0510115558520972,1.0886495171577066,1.0358111774281062
I-95 NB AM,110+04147,370,1.5995652173913044,1.63,23,38.52594,1.82979,2.3285183333333332,0.4987283333333332,1.5248249999999999,1.049015603358618,1.0689751282934108,1.0190269094862734
I-95 NB AM,110+04147,375,1.6326086956521741,1.8949999999999996,23,38.52594,1.82979,2.3285183333333332,0.4987283333333332,1.5248249999999999,1.0706859447163932,1.2427655632613577,1.1607190412782953
I-95 NB AM,110+04147,380,1.6656521739130437,1.8779999999999997,23,38.52594,1.82979,2.3285183333333332,0.4987283333333332,1.5248249999999999,1.0923562860741685,1.2316167429049234,1.1274862960062644
I-95 NB AM,110+04147,385,1.6743478260869564,1.9109999999999996,23,38.52594,1.82979,2.3285183333333332,0.4987283333333332,1.5248249999999999,1.098059007484109,1.253258570655649,1.1413399117112437
I-95 NB AM,110+04147,390,1.7269565217391303,2.6439999999999984,23,38.52594,1.82979,2.3285183333333332,0.4987283333333332,1.5248249999999999,1.132560472014251,1.7339694719066112,1.5310171198388713
I-95 NB AM,110+04147,395,1.8330434782608698,1.775,23,38.52594,1.82979,2.3285183333333332,0.4987283333333332,1.5248249999999999,1.2021336732155297,1.1640680078041743,0.9683349146110055
I-95 NB AM,110+04147,400,1.916521739130435,1.7879999999999998,23,38.52594,1.82979,2.3285183333333332,0.4987283333333332,1.5248249999999999,1.2568797987509617,1.1725935763120359,0.9329401088929218
I-95 NB AM,110+04147,405,2.033913043478261,1.816,23,38.52594,1.82979,2.3285183333333332,0.4987283333333332,1.5248249999999999,1.333866537785163,1.1909563392520455,0.8928601966652415
I-95 NB AM,110+04147,410,2.143913043478261,1.678,23,38.52594,1.82979,2.3285183333333332,0.4987283333333332,1.5248249999999999,1.4060059636209146,1.1004541504762841,0.7826809977692151
I-95 NB AM,110+04147,415,2.1308695652173912,1.66,23,38.52594,1.82979,2.3285183333333332,0.4987283333333332,1.5248249999999999,1.3974518815060033,1.0886495171577066,0.7790246888390124
I-95 NB AM,110+04147,420,1.8995652173913042,1.6669999999999998,23,38.52594,1.82979,2.3285183333333332,0.4987283333333332,1.5248249999999999,1.2457594920015769,1.093240207892709,0.8775692378118563
I-95 NB AM,110+04147,425,2.16,1.658,23,38.52594,1.82979,2.3285183333333332,0.4987283333333332,1.5248249999999999,1.4165559982293052,1.0873378912334202,0.7675925925925925
I-95 NB AM,110+04147,430,2.0817391304347828,1.7579999999999998,23,38.52594,1.82979,2.3285183333333332,0.4987283333333332,1.5248249999999999,1.3652315055398376,1.1529191874477398,0.844486215538847
I-95 NB AM,110+04147,435,2.5678260869565217,1.7279999999999998,23,38.52594,1.82979,2.3285183333333332,0.4987283333333332,1.5248249999999999,1.6840136323555306,1.133244798583444,0.6729427700643412
