pair,facility,tmc_code,length_mi,weekdays,mean_T_min,T95_min,TTI,PTI95,gamma95,buffer_index
I-95 NB AM,ML,110P04664,0.8906,23,0.7492028985507247,0.7630277777777777,0.995460098006989,1.0138291081335098,1.0184527839571846,0.018452783957184637
I-95 NB AM,ML,110P04665,0.386045,23,0.322584541062802,0.32975,1.0027365961879118,1.0250100376899065,1.0222126544365404,0.022212654436540413
I-95 NB AM,ML,110P04666,0.5175,23,0.44548309178743967,0.4631111111111111,0.9899624261943105,1.029135802469136,1.0395705687794825,0.03957056877948251
I-95 NB AM,ML,110P04667,1.1498333333333333,23,0.9691787439613527,1.0090277777777776,0.9974154344289904,1.0384254561852764,1.0411162895025419,0.04111628950254187
I-95 NB AM,ML,110P04668,0.6897166666666666,23,0.6194089917406888,0.6132222222222221,1.0477401208672212,1.0372751022293105,0.9900118183607889,-0.009988181639211113
I-95 NB AM,ML,110P04669,0.46549999999999997,23,0.43383278790712176,0.43955555555555553,1.0562344997380695,1.0701674821975573,1.0131911828887836,0.013191182888783626
I-395 SB PM,GP,110-04121,1.0531666666666666,23,1.3629347826086955,2.428291666666666,1.3588367036611462,2.4209902674473804,1.781663875375495,0.781663875375495
I-395 SB PM,GP,110-04122,0.9030233333333334,23,1.5508876811594203,2.2665624999999996,1.7746871847512995,2.593636838472243,1.461461411767454,0.46146141176745403
I-395 SB PM,GP,110-04123,0.12202666666666667,23,0.22292572463768115,0.3330833333333333,1.7964130454577125,2.6841013803904428,1.4941448945593432,0.4941448945593432
I-395 SB PM,GP,110-04124,0.20122666666666666,23,0.3958333333333333,0.5679791666666666,1.901531716582737,2.728497852062903,1.4348947368421052,0.4348947368421052
I-395 SB PM,GP,110-04125,0.07441,23,0.15180253623188406,0.24689583333333326,2.0740838395701577,3.3733471830249804,1.6264275911450559,0.6264275911450559
I-395 SB PM,GP,110-04126,0.48176083333333336,23,1.3482246376811593,1.7536249999999998,2.8451774272002432,3.7006995172224104,1.3006919996775146,0.3006919996775146
I-395 SB PM,GP,110-04127,0.07465333333333334,23,0.08891304347826087,0.10799999999999998,1.1116115455399644,1.3502411144847293,1.2146699266503664,0.21466992665036644
I-395 SB PM,GP,110-04128,0.040075000000000006,23,0.05333333333333333,0.05560416666666667,1.1090316767172659,1.1562521660774934,1.0425781250000001,0.04257812500000013
I-395 SB PM,ML,110-04298,0.1,23,0.09853260869565217,0.10102083333333335,0.9853260869565217,1.0102083333333334,1.0252528038242326,0.02525280382423256
I-395 SB PM,ML,110-04300,0.05079999999999999,23,0.05058876811594204,0.051437500000000004,0.9460497974437981,0.9619217519685042,1.0167770814682182,0.016777081468218213
I-395 SB PM,ML,110-04650,0.19773833333333338,23,0.1759963768115942,0.1783125,0.9938856271652613,1.0069652234012962,1.0131600617601648,0.01316006176016482
I-395 SB PM,ML,110-04651,0.48566,23,0.41526268115942033,0.42193749999999997,0.9833053645211329,0.999110746201046,1.016073726687752,0.016073726687751977
I-395 SB PM,ML,110-04652,0.36733333333333335,23,0.312590579710145,0.3173958333333333,0.9786184210526316,0.9936620916515425,1.0153723558388872,0.015372355838887186
I-395 SB PM,ML,110-04653,0.9565299999999998,23,0.8226811594202899,0.8332499999999999,0.9890785791698468,1.0017850982196064,1.0128468246278517,0.012846824627851694
I-395 SB PM,ML,110-04655,0.114,23,0.10106884057971015,0.1024375,0.9900018010000847,1.003408260233918,1.0135418533787417,0.013541853378741697
I-395 SB PM,ML,110-04656,0.0735,23,0.06244565217391305,0.06477083333333335,0.948720792664892,0.9840466742252457,1.0372352770525095,0.03723527705250951
I-395 SB PM,ML,110-04657,0.5456,23,0.47615942028985514,0.4850833333333333,0.974544268066358,0.9928086306614532,1.018741439659108,0.018741439659107906
I-395 SB PM,ML,110-16046,0.06899999999999999,23,0.060063405797101455,0.060604166666666674,1.0010567632850245,1.0100694444444447,1.0090031669431458,0.009003166943145846
I-395 SB PM,GP,110N04120,1.3017933333333334,23,1.9262409420289857,3.3071250000000005,1.5290053516661262,2.6251190665184954,1.71688023436802,0.7168802343680201
I-395 SB PM,GP,110N04121,0.5089466666666667,23,0.7065217391304348,1.248770833333333,1.434477346221181,2.535425835931291,1.767491025641025,0.767491025641025
I-395 SB PM,GP,110N04122,0.7715333333333334,23,0.9879166666666667,1.699937499999999,1.3444817679080616,2.313489641838761,1.7207296499367346,0.7207296499367346
I-395 SB PM,GP,110N04123,0.7853333333333333,23,1.609067028985507,2.481270833333333,2.1171934591914563,3.2648300438596483,1.542055606532276,0.5420556065322759
I-395 SB PM,GP,110N04124,0.6151166666666668,23,1.184583333333333,1.790520833333333,1.8936899955744615,2.8623493962301634,1.5115195216320787,0.5115195216320787
I-395 SB PM,GP,110N04125,0.53973,23,1.0881159420289856,1.6997083333333332,2.016037541046422,3.149182615999357,1.5620654635055937,0.5620654635055937
